FixationIndex	Timestamp	FixationDuration	MappedFixationPointX	MappedFixationPointY	StimuliName
1	104899	339	760	767	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
2	105238	160	288	887	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
3	105397	239	433	393	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
4	105637	139	367	258	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
5	105776	339	398	332	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
6	106235	219	841	449	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
7	106454	319	460	499	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
8	106773	199	627	842	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
9	106972	140	712	822	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
10	107112	239	514	788	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
11	107351	578	780	756	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
12	107929	279	550	787	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
13	108209	359	668	87	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
14	108567	279	634	23	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
15	108846	259	595	598	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
16	109106	179	661	784	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
17	109285	319	769	780	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
18	109604	319	846	971	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
19	109923	239	733	972	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
20	110162	180	535	797	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
21	110342	299	960	764	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
22	110641	339	462	748	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
23	110980	179	305	758	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
24	111159	239	260	750	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
25	111398	219	392	485	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
26	111618	339	417	521	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
27	111957	279	678	826	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
28	112236	160	751	764	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
