FixationIndex	Timestamp	FixationDuration	MappedFixationPointX	MappedFixationPointY	StimuliName
1	60911	538	480	263	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
2	61449	319	776	309	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
3	61768	279	757	356	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
4	62047	259	376	471	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
5	62306	180	637	437	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
6	62486	279	780	560	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
7	62765	199	753	799	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
8	62964	279	843	259	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
9	63243	239	821	220	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
10	63483	259	371	307	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
11	63742	159	461	316	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
12	63901	319	809	320	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
13	64220	439	406	460	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
14	64659	219	412	519	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
15	64878	379	273	536	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
16	65257	199	312	486	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
17	65456	239	490	767	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
18	65696	279	513	715	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
19	65975	459	723	734	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
20	66433	199	758	716	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
21	66633	199	998	737	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
22	66952	319	933	730	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
23	67271	518	817	264	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
24	67789	299	437	453	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
25	68088	339	834	399	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
26	68427	259	644	725	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
27	68686	439	715	729	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
28	69125	160	260	711	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
29	69285	179	289	497	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
30	69464	219	295	534	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
31	69683	399	445	529	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
32	70082	598	303	526	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
33	70680	399	443	481	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
34	71079	518	411	507	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
35	71597	817	275	527	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
36	72414	498	314	474	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
37	72913	379	294	532	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
38	73292	239	414	532	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
39	73531	419	462	527	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
40	73950	279	412	529	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
41	74229	399	296	487	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
42	74628	279	437	526	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
43	74907	199	427	488	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
