FixationIndex	Timestamp	FixationDuration	MappedFixationPointX	MappedFixationPointY	StimuliName
1	391549	450	540	319	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
2	391999	250	376	269	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
3	392249	316	789	333	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
4	392565	216	571	637	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
5	392782	416	444	509	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
6	393481	250	749	747	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
7	393731	233	690	772	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
8	393964	300	968	750	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
9	394264	366	853	393	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
10	394630	316	684	312	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
11	394947	116	781	300	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
12	395346	233	377	446	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
13	395580	250	608	641	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
14	395829	250	425	376	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
15	396079	283	365	280	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
16	396362	350	465	287	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
17	396712	250	538	458	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
18	397212	183	711	768	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
19	397395	350	952	752	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
20	397745	333	475	761	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
21	398078	333	271	744	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
22	398411	400	525	760	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
23	398811	216	726	796	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
24	399027	333	718	753	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
25	399360	666	975	746	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
26	400293	83	452	691	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
27	400376	1799	488	760	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
28	402175	183	289	754	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
29	402358	283	253	737	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
30	402641	450	395	496	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
31	403357	1282	480	757	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
