FixationIndex	Timestamp	FixationDuration	MappedFixationPointX	MappedFixationPointY	StimuliName
1	204344	550	569	423	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
2	204894	266	330	276	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
3	205160	216	406	634	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
4	205377	283	524	783	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
5	205660	316	773	798	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
6	205976	216	721	749	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
7	206193	400	953	767	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
8	206592	233	628	448	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
9	206826	250	392	487	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
10	207075	300	334	290	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
11	207375	333	337	516	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
12	207708	250	445	591	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
13	207958	233	567	65	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
14	208191	250	504	28	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
15	208441	350	940	42	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
16	208791	250	896	19	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
17	209174	250	770	437	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
18	209424	183	744	650	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
19	209607	350	679	754	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
20	209957	400	959	771	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
21	210356	266	473	756	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
22	210623	200	384	948	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
23	210823	350	262	971	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
24	211173	183	218	975	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
25	211356	766	422	968	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
26	212122	383	331	965	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
27	212505	283	243	970	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
28	212788	316	178	972	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
29	213105	250	745	967	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
30	213354	266	659	972	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
31	213621	883	538	973	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
32	214504	233	274	431	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
33	214737	117	304	193	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
34	215120	283	294	23	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
35	215403	316	328	313	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
36	215719	1532	435	559	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
37	217252	283	410	523	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
38	217535	1915	405	564	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
39	219450	316	282	554	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
40	219767	233	321	555	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
41	220000	133	439	549	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
42	220266	1216	424	545	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
43	221615	466	397	536	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
44	222082	466	309	549	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
45	222698	450	264	552	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
46	223148	166	315	545	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
47	223314	233	326	329	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
48	223547	166	418	290	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
49	223714	266	411	935	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
50	223980	167	438	889	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
