FixationIndex	Timestamp	FixationDuration	MappedFixationPointX	MappedFixationPointY	StimuliName
1	255343	167	623	274	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
2	255509	166	777	343	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
3	255676	266	354	293	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
4	255942	333	418	293	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
5	256275	366	818	308	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
6	256642	233	367	378	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
7	256875	233	379	507	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
8	257108	216	556	800	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
9	257325	233	746	301	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
10	257558	216	326	307	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
11	258007	316	639	275	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
12	258324	233	786	302	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
13	258557	450	358	293	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
14	259007	200	522	112	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
15	259207	233	956	29	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
16	259440	266	490	49	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
17	259706	166	750	32	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
18	259873	217	668	42	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
19	260089	283	814	763	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
20	260372	217	703	755	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
21	260589	233	358	758	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
22	260822	166	269	754	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
23	260989	216	513	767	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
24	261205	183	1038	764	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
25	261388	300	978	761	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
26	261688	283	342	441	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
27	261971	200	329	532	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
28	262171	216	416	552	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
29	262388	167	276	545	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
30	262554	466	440	553	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
31	263020	500	303	566	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
32	263520	616	438	555	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
33	264136	899	429	507	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
34	265036	383	763	339	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
35	265419	300	313	303	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
