FixationIndex	Timestamp	FixationDuration	MappedFixationPointX	MappedFixationPointY	StimuliName
1	295198	233	1145	136	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
2	295431	200	706	262	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
3	295631	250	359	273	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
4	295881	166	428	460	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
5	296047	133	460	494	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
6	296181	216	301	668	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
7	296397	217	651	707	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
8	296614	233	706	750	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
9	296847	283	696	860	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
10	297130	167	943	804	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
11	297297	200	981	734	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
12	297496	166	860	277	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
13	297663	200	963	35	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
14	297863	350	878	58	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
15	298212	483	950	65	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
16	298912	183	741	410	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
17	299095	250	822	86	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
18	299345	233	567	61	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
19	299578	150	709	37	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
20	299728	283	399	56	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
21	300011	183	350	603	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
22	300194	200	251	863	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
