FixationIndex	Timestamp	FixationDuration	MappedFixationPointX	MappedFixationPointY	StimuliName
1	210975	319	532	302	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
2	211294	199	336	65	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
3	211494	199	361	277	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
4	211693	259	447	462	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
5	211952	299	691	726	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
6	212251	499	753	260	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
7	212750	239	438	51	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
8	212989	299	380	365	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
9	213288	299	426	476	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
10	213587	159	391	449	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
11	213747	259	302	503	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
12	214006	259	263	751	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
13	214265	120	292	730	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
14	214524	319	768	254	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
15	214843	239	783	79	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
16	215082	199	461	386	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
17	215282	179	348	496	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
18	215461	179	311	515	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
19	215641	459	447	503	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
20	216099	1196	446	455	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
21	217295	698	439	504	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
22	217993	439	430	458	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
23	218432	259	368	453	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
24	218811	219	354	466	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
25	219030	219	279	504	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
26	219249	259	575	416	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
27	219508	937	432	452	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
28	220445	339	305	500	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
29	220784	319	802	403	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
30	221103	199	354	476	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
31	221303	179	276	532	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
32	221482	259	667	719	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
33	221741	179	972	730	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
34	221921	120	710	501	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
35	222040	160	499	631	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
36	222200	179	500	712	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
37	222379	718	274	737	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
38	223097	359	329	13	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
39	223456	200	494	19	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
40	223655	2512	709	46	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
