FixationIndex	Timestamp	FixationDuration	MappedFixationPointX	MappedFixationPointY	StimuliName
1	315887	450	523	507	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
2	316337	300	749	425	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
3	316637	250	786	396	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
4	316887	783	554	972	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
5	317669	283	744	957	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
6	317953	483	691	737	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
7	318436	333	656	439	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
8	318769	533	372	469	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
9	319302	250	579	659	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
10	319551	233	681	319	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
11	319785	200	757	292	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
12	319984	333	766	51	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
13	320318	366	849	303	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
14	320684	316	892	834	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
15	321000	250	708	828	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
16	321467	333	507	760	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
17	321800	466	713	750	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
18	322266	167	286	753	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
19	322433	899	414	525	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
20	323332	300	286	517	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
21	323632	333	394	490	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
22	323965	133	394	554	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
23	324298	83	400	454	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
24	324381	400	402	500	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
25	324931	1216	408	461	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
26	326147	400	512	22	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
27	326546	200	561	5	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
28	326746	233	440	568	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
29	326979	2998	437	526	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
30	330160	83	312	59	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
31	330244	216	308	6	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
32	331526	3597	690	7	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
