FixationIndex	Timestamp	FixationDuration	MappedFixationPointX	MappedFixationPointY	StimuliName
1	64207	216	213	941	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
2	64423	150	403	598	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
3	64573	183	724	428	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
4	64757	150	769	297	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
5	64906	183	391	291	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
6	65090	200	316	295	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
7	65290	216	446	292	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
8	65506	216	422	459	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
9	65722	200	812	369	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
10	65922	250	467	515	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
11	66172	183	423	490	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
12	66355	416	400	524	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
13	66772	233	780	495	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
14	67005	250	796	315	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
15	67255	483	723	733	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
16	67738	433	781	731	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
17	68171	533	986	730	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
18	68704	300	493	702	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
19	69003	283	528	712	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
20	69287	150	502	753	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
21	69436	300	264	700	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
22	69736	283	690	741	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
23	70019	333	741	788	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
24	70353	300	707	898	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
25	70652	166	887	728	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
26	70819	250	980	733	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
27	71069	183	923	798	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
28	71252	283	532	764	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
29	71535	266	497	703	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
30	71801	266	270	702	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
31	72068	266	389	472	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
32	72334	283	441	473	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
33	72617	183	330	484	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
34	72801	716	282	525	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
35	73517	250	321	483	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
36	73767	250	311	518	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
37	74017	450	408	485	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
38	74466	1266	296	485	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
39	75732	933	287	526	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
40	76665	333	387	518	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
41	76998	366	765	346	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
42	77364	250	445	460	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
43	77614	766	409	518	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
44	78380	183	453	525	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
45	78563	366	516	61	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
46	78929	200	362	25	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
47	79129	133	288	36	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
48	79263	266	851	34	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
49	79529	150	815	36	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
50	79679	217	829	511	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
