FixationIndex	Timestamp	FixationDuration	MappedFixationPointX	MappedFixationPointY	StimuliName
1	80632	167	173	57	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
2	80799	183	411	234	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
3	80982	250	246	232	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
4	81232	250	898	521	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
5	81482	266	934	757	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
6	81748	250	741	776	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
7	81998	300	682	732	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
8	82298	233	258	662	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
9	82531	266	187	701	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
10	82798	117	575	747	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
11	82914	150	551	669	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
12	83064	283	368	359	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
13	83347	100	406	955	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
14	83447	250	382	911	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
15	83697	250	418	952	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
16	83947	250	182	948	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
17	84330	133	263	977	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
18	89110	150	887	933	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
19	89260	200	1045	774	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
20	89459	450	1046	715	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
