FixationIndex	Timestamp	FixationDuration	MappedFixationPointX	MappedFixationPointY	StimuliName
1	57646	166	262	914	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
2	57946	216	712	562	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
3	58162	167	823	368	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
4	58329	366	366	271	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
5	58695	150	311	273	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
6	58845	217	454	617	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
7	59062	166	430	463	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
8	59228	250	816	372	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
9	59478	150	780	291	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
10	59811	100	835	9	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
11	60394	250	333	295	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
12	60644	150	446	264	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
13	61060	366	516	0	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
14	61427	216	351	245	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
15	61643	216	809	423	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
16	61860	233	413	473	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
17	62093	167	419	348	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
18	62259	266	389	513	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
19	62526	233	621	788	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
20	62759	466	530	745	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
21	63225	316	715	737	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
22	63542	200	759	732	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
23	63741	483	263	743	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
24	64224	333	520	746	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
25	64558	266	713	731	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
26	64824	366	723	814	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
27	65190	216	964	792	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
28	65407	416	992	718	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
29	65823	266	1025	790	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
30	66090	450	525	758	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
31	66539	200	718	740	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
32	66739	283	987	725	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
33	67022	250	747	732	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
34	67272	233	439	459	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
35	67505	133	397	358	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
36	67639	150	339	356	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
37	67789	300	504	366	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
38	68088	200	431	475	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
39	68288	166	500	376	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
40	68455	300	317	302	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
41	68871	283	374	387	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
42	69154	250	345	486	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
43	69404	166	294	511	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
44	69571	416	300	307	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
45	69987	200	371	312	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
46	70187	233	510	400	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
47	70420	166	450	347	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
48	70586	150	514	408	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
49	70736	216	456	346	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
50	70953	316	499	351	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
51	71269	133	314	287	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
52	71403	200	446	483	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
53	71602	100	392	467	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
54	71702	1116	299	510	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
55	72818	483	419	505	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
56	73301	183	290	505	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
57	73601	83	304	603	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
58	73684	366	263	746	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
59	74051	150	485	730	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
60	74200	167	397	519	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
61	74367	333	805	458	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
62	74700	200	343	514	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
63	74900	250	298	514	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
64	75150	200	334	506	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
65	75350	366	449	508	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
66	75716	333	413	505	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
67	76049	550	463	513	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
68	76599	1083	448	457	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
69	77681	433	414	513	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
70	78114	117	433	468	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
71	78397	550	480	480	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
72	78947	316	427	391	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
73	79263	100	324	291	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
74	79363	166	364	304	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
75	79530	150	446	293	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
76	79680	266	496	338	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
77	79946	117	786	388	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
78	80230	17	431	489	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
79	80396	216	475	602	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
80	80612	583	505	750	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
81	81195	433	722	727	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
82	81628	266	980	729	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
83	81895	383	545	731	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
84	82278	133	896	729	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
85	82411	300	1005	724	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
86	82878	116	712	702	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
87	82994	1099	267	752	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
88	84093	183	203	756	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
89	84276	150	709	396	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
90	84426	150	746	397	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
91	84576	133	600	117	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
92	84710	100	602	80	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
93	84809	333	263	15	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
94	85143	483	483	94	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
95	85626	283	603	30	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
