FixationIndex	Timestamp	FixationDuration	MappedFixationPointX	MappedFixationPointY	StimuliName
1	317949	83	492	388	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
2	318033	150	312	109	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
3	318183	250	792	275	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
4	318432	300	313	349	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
5	318732	216	239	106	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
6	318949	250	324	300	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
7	319198	200	505	611	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
8	319398	466	429	515	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
9	319865	250	327	332	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
10	320114	316	374	360	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
11	320431	200	435	374	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
12	320631	283	453	617	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
13	320914	350	572	763	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
14	321264	183	448	870	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
15	321447	216	276	760	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
16	321663	166	878	787	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
17	321830	217	941	766	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
18	322046	300	698	754	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
19	322346	117	425	745	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
20	322463	233	482	366	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
21	322696	283	416	514	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
22	322979	200	323	327	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
23	323179	250	268	348	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
24	323429	117	395	356	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
25	323545	200	352	294	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
26	323745	200	406	365	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
