FixationIndex	Timestamp	FixationDuration	MappedFixationPointX	MappedFixationPointY	StimuliName
1	113395	250	265	556	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
2	113645	183	420	506	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
3	113828	166	711	386	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
4	113994	316	360	286	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
5	114311	266	432	281	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
6	114577	333	499	67	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
7	114910	200	261	38	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
8	115110	200	345	303	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
9	115310	166	770	322	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
10	115477	333	891	781	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
11	115810	133	624	773	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
12	115943	183	664	146	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
13	116126	433	919	44	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
14	116559	416	504	47	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
15	116975	233	298	84	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
16	117209	183	415	380	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
17	117392	400	633	812	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
18	117791	250	512	743	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
19	118041	183	371	491	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
20	118224	200	375	319	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
21	118424	217	329	75	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
22	118641	166	384	49	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
23	118807	183	475	50	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
24	118991	183	859	47	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
25	119174	233	821	53	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
26	119407	150	453	647	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
27	119557	200	221	898	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
28	120007	183	297	780	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
29	120190	183	742	553	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
30	120373	200	432	422	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
31	120573	233	442	303	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
32	120806	150	360	332	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
33	120956	133	412	455	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
34	121089	200	422	490	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
35	121289	300	407	543	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
36	121589	666	282	538	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
37	122255	1366	416	546	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
38	123621	416	419	506	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
39	124037	899	411	546	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
40	124936	816	301	538	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
41	125752	283	393	523	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
42	126036	333	438	550	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
43	126369	233	499	722	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
44	126602	216	865	785	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
45	126818	266	977	776	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
46	127085	216	645	762	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
47	127301	217	495	734	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
48	127517	183	234	736	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
49	127701	216	272	887	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
50	128117	300	523	802	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
51	128417	133	517	687	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
52	128550	749	260	731	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
53	129299	466	221	739	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
54	129766	216	254	850	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
55	129982	250	243	745	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
56	130232	200	306	197	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
57	130432	233	410	54	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
58	130665	216	594	47	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
59	130882	133	500	57	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
60	131015	283	583	64	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
61	131298	749	694	71	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
62	132164	150	698	54	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
63	132314	383	316	62	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
64	132697	550	704	61	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
65	133247	117	502	30	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
66	134079	150	654	93	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
67	134229	1416	695	64	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
68	135645	233	838	148	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
69	135878	350	694	49	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
