FixationIndex	Timestamp	FixationDuration	MappedFixationPointX	MappedFixationPointY	StimuliName
1	1323	117	400	155	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
2	1440	150	391	90	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
3	1590	550	855	386	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
4	2139	250	832	239	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
5	2389	283	380	375	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
6	2672	333	280	342	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
7	3005	383	427	702	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
8	3388	333	576	756	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
9	3722	416	809	392	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
10	4138	350	433	522	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
11	4488	250	384	551	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
12	4737	233	289	538	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
13	4971	117	286	345	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
14	5087	150	375	130	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
15	5237	233	377	47	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
16	5470	233	324	53	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
17	5703	650	483	503	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
18	6353	300	527	834	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
19	6653	350	558	740	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
20	7003	233	791	738	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
21	7236	283	998	744	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
22	7519	183	314	743	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
23	7702	266	262	740	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
24	7969	216	335	426	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
25	8185	300	295	392	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
26	8485	200	452	377	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
27	8685	333	363	279	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
28	9018	316	777	279	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
29	9334	250	389	440	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
30	9584	400	357	389	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
31	9984	250	298	270	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
32	10383	150	372	423	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
33	10533	200	462	392	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
34	10733	4747	443	547	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
35	15663	83	448	471	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
36	15746	916	456	517	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
37	16662	183	313	541	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
38	16845	433	280	564	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
39	17278	233	623	834	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
40	17511	216	636	734	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
41	17728	250	519	724	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
42	17978	266	255	748	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
43	18444	433	962	768	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
44	18877	183	659	740	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
45	19060	200	485	716	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
46	19260	183	324	530	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
47	19443	400	280	556	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
48	19843	266	275	770	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
49	20110	366	201	761	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
50	20476	216	555	745	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
51	20692	316	506	729	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
52	21009	566	755	754	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
53	21575	666	958	779	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
54	22241	150	833	256	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
55	22391	216	804	114	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
56	22608	233	707	57	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
57	22841	416	829	45	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
58	23257	250	358	38	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
59	23507	466	305	37	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
60	23973	333	441	50	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
61	24306	183	612	51	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
62	24490	383	502	48	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
63	24873	400	610	47	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
64	25272	2398	505	45	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
65	27837	216	517	38	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
66	28054	217	348	324	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
67	28270	266	404	348	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
68	28537	216	298	362	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
69	28753	200	463	362	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
70	28953	400	378	347	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
