FixationIndex	Timestamp	FixationDuration	MappedFixationPointX	MappedFixationPointY	StimuliName
1	151257	233	405	402	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
2	151490	217	323	495	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
3	151706	233	348	306	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
4	151939	333	804	341	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
5	152273	316	829	568	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
6	152589	166	814	717	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
7	152756	333	691	755	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
8	153089	533	486	736	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
9	153771	183	199	771	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
10	153955	300	237	964	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
11	154254	133	192	967	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
12	154388	416	152	953	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
13	154804	516	215	957	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
14	155320	283	171	966	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
15	155603	300	377	92	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
16	155903	233	334	317	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
17	156136	183	353	514	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
18	156320	150	376	549	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
19	156470	450	265	550	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
20	156919	216	393	551	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
21	157136	300	428	544	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
22	157702	466	400	510	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
23	158168	383	430	548	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
24	158668	333	415	496	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
25	159118	33	408	476	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
26	160034	83	401	525	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
27	160117	450	285	560	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
28	160567	117	334	580	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
29	160683	183	452	916	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
30	160867	183	476	951	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
31	161050	250	329	576	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
32	161299	250	281	570	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
33	161766	300	337	550	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
34	164597	266	614	12	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
35	164863	600	732	25	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
