FixationIndex	Timestamp	FixationDuration	MappedFixationPointX	MappedFixationPointY	StimuliName
1	210209	183	660	365	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
2	210392	316	796	366	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
3	210709	300	395	412	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
4	211009	266	354	269	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
5	211275	150	491	607	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
6	211425	183	535	705	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
7	211608	183	239	772	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
8	211791	250	242	639	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
9	212208	83	558	449	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
10	212291	250	393	461	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
11	212541	167	432	491	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
12	212707	166	584	792	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
13	212874	316	703	772	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
14	213190	266	719	250	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
15	213457	216	837	73	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
16	213673	133	799	67	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
17	213807	483	412	69	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
18	214290	233	619	64	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
19	214523	217	716	102	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
20	214739	183	818	78	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
21	214922	167	524	595	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
22	215089	100	579	318	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
23	215189	216	766	82	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
24	215405	283	686	77	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
25	215689	150	719	899	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
26	215838	117	694	860	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
27	215955	150	697	764	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
28	216105	216	950	765	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
29	216321	150	252	749	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
30	216471	233	242	701	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
31	216705	350	360	392	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
32	217054	133	402	689	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
33	217187	233	260	704	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
