FixationIndex	Timestamp	FixationDuration	MappedFixationPointX	MappedFixationPointY	StimuliName
1	7712	133	651	146	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
2	7845	233	890	108	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
3	8078	533	656	303	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
4	8611	316	599	440	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
5	8928	333	495	43	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
6	9261	117	337	43	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
7	9377	200	357	266	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
8	9577	250	313	266	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
9	9827	183	447	268	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
10	10010	216	488	281	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
11	10227	250	821	247	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
12	10477	350	856	446	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
13	10826	283	425	485	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
14	11110	200	430	383	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
15	11309	183	428	324	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
16	11493	616	348	322	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
17	12109	350	491	348	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
18	12459	383	798	355	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
19	12842	183	454	473	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
20	13175	83	864	400	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
21	13258	183	484	270	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
22	13708	183	297	34	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
23	13891	466	392	309	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
24	14357	150	444	322	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
25	14507	200	352	353	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
26	14707	1332	449	365	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
27	16039	233	414	359	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
28	16272	766	461	371	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
29	17039	283	349	349	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
30	17322	566	482	510	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
31	18038	233	462	496	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
32	18271	216	428	346	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
33	18488	200	374	342	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
34	18687	416	466	349	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
35	19104	400	484	523	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
36	19503	633	372	509	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
37	20136	200	814	498	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
38	20336	216	794	822	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
39	20553	217	563	838	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
40	20769	166	323	827	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
41	20936	183	903	839	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
42	21119	216	975	761	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
43	21335	133	820	772	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
44	21469	250	744	757	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
45	21719	200	502	753	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
