FixationIndex	Timestamp	FixationDuration	MappedFixationPointX	MappedFixationPointY	StimuliName
1	322030	266	131	919	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
2	322296	283	449	333	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
3	322579	100	321	300	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
4	322679	266	824	304	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
5	322946	333	467	62	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
6	323279	217	229	65	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
7	323496	266	288	286	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
8	323762	167	462	320	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
9	323929	283	854	269	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
10	324212	216	372	454	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
11	324428	233	424	806	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
12	324661	116	433	853	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
13	324778	217	485	551	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
14	324994	167	447	443	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
15	325161	283	508	324	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
16	325444	250	666	717	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
17	325694	200	770	726	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
18	325894	166	250	709	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
19	326327	117	230	708	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
20	326443	300	533	709	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
21	326743	133	650	667	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
22	326876	266	384	520	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
23	327143	250	270	710	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
24	327393	450	1021	739	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
25	327842	250	396	469	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
26	328092	333	396	374	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
27	328425	167	762	697	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
28	328592	183	757	247	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
29	328775	133	812	153	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
30	328908	250	810	67	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
31	329158	250	230	55	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
32	329408	250	327	61	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
33	329658	250	700	881	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
34	329907	183	794	944	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
35	330091	216	842	946	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
36	330307	183	724	781	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
37	330490	383	877	951	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
38	330874	316	818	949	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
39	331190	500	796	737	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
40	331690	183	750	712	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
41	331873	316	530	702	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
42	332189	166	1011	756	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
43	332356	683	445	528	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
44	333039	483	400	547	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
45	333522	183	467	544	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
46	333838	383	429	533	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
47	334221	133	466	536	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
48	334571	83	429	497	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
49	334654	316	392	535	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
50	334971	766	430	532	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
51	335737	466	304	542	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
52	336203	283	315	488	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
53	336686	200	424	482	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
54	336886	266	300	525	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
55	337152	266	785	454	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
56	337419	283	649	742	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
57	337702	117	325	602	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
58	337818	283	333	518	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
59	338102	200	411	534	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
60	338301	200	425	490	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
61	338501	200	311	492	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
62	338701	466	280	549	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
63	339167	216	337	415	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
64	339384	133	298	796	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
65	339517	333	536	744	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
66	339850	799	250	716	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
67	340650	283	397	226	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
68	340933	167	306	70	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
69	341099	216	328	248	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
70	341316	216	430	274	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
71	341532	200	430	75	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
72	341732	600	491	59	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
73	342332	200	358	53	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
74	342532	216	597	64	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
75	342748	150	697	60	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
76	342898	200	613	61	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
77	343098	350	707	59	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
78	343681	1116	716	62	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
79	344797	333	913	64	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
80	345130	716	711	69	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
