FixationIndex	Timestamp	FixationDuration	MappedFixationPointX	MappedFixationPointY	StimuliName
1	97210	117	259	314	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
2	97493	233	697	328	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
3	97726	183	435	409	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
4	97910	200	342	271	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
5	98109	217	703	506	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
6	98326	316	694	725	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
7	98642	167	587	780	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
8	98809	450	531	725	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
9	99259	200	493	324	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
10	99458	150	354	291	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
11	99608	483	426	476	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
12	100091	200	384	493	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
13	100291	283	325	483	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
14	100574	416	427	484	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
15	100991	2748	431	544	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
16	103739	716	461	500	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
17	104455	450	425	487	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
18	104904	216	470	508	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
19	105121	233	783	373	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
20	105354	200	841	299	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
21	105554	416	447	491	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
22	105970	699	420	541	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
23	106670	283	436	503	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
24	106953	600	400	546	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
25	107553	400	288	545	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
26	107952	483	431	533	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
27	108435	233	337	535	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
28	108785	183	740	671	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
29	109168	300	755	733	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
30	109468	183	321	515	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
31	109651	233	269	533	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
32	109884	366	304	542	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
33	110251	233	326	508	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
34	110484	150	453	534	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
35	110634	500	418	541	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
36	111133	500	284	542	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
37	111633	183	680	780	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
38	111816	150	713	732	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
39	111966	250	518	737	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
40	112216	300	776	734	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
41	112516	433	274	724	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
42	112949	200	271	771	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
43	113148	150	251	803	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
44	113298	749	264	736	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
45	114048	166	185	767	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
46	114214	200	283	816	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
47	114414	1832	259	733	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
48	116246	183	250	817	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
49	116429	167	332	145	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
50	116596	116	691	116	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
51	119377	83	275	735	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
52	119461	266	248	818	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
53	119727	266	216	754	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
54	119993	516	292	765	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
55	120510	133	259	731	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
56	120810	583	231	761	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
