FixationIndex	Timestamp	FixationDuration	MappedFixationPointX	MappedFixationPointY	StimuliName
1	4665	219	79	39	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
2	4884	239	393	29	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
3	5123	199	307	23	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
4	5323	279	657	18	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
5	5602	379	851	30	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
6	5981	139	654	418	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
7	6120	199	403	483	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
8	6320	199	373	345	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
9	6519	159	424	366	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
10	6679	140	400	626	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
11	6818	160	659	818	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
12	6978	199	752	776	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
13	7177	279	970	772	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
14	7456	219	793	796	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
15	7675	179	854	799	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
16	7855	160	918	805	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
17	8014	259	412	540	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
18	8274	239	448	410	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
19	8513	259	308	609	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
20	8772	200	458	776	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
21	8972	139	540	805	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
22	9111	219	770	885	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
23	9330	219	728	977	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
24	9809	239	509	141	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
25	10048	259	593	25	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
26	10307	299	798	39	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
27	10606	379	890	50	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
28	10985	279	385	26	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
29	11264	120	514	63	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
30	11384	399	813	358	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
31	11783	239	847	58	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
32	12022	299	601	21	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
33	12321	239	387	912	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
34	12560	199	323	989	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
35	12759	179	466	988	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
36	12939	239	759	995	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
37	13178	219	977	992	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
38	13397	140	1056	996	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
39	13537	200	746	981	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
40	13736	459	963	761	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
41	14195	439	748	761	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
42	14634	160	437	749	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
43	14793	538	263	755	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
44	15331	199	256	865	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
45	15531	299	254	770	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
46	15830	199	324	775	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
47	16029	299	193	786	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
48	16328	199	267	766	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
49	16528	259	414	508	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
50	16787	359	294	556	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
51	17146	319	448	560	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
52	17465	399	436	501	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
53	18302	219	386	513	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
54	18521	379	429	541	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
55	18900	638	482	547	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
56	19538	259	598	599	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
57	19797	1116	475	524	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
58	20914	479	447	495	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
59	21392	239	420	539	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
60	21632	797	461	498	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
61	22429	458	442	536	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
62	22887	818	450	493	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
63	23705	419	455	550	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
64	24124	159	444	483	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
65	24283	179	411	522	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
66	24463	159	452	522	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
67	24622	180	461	485	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
68	24801	279	418	486	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
69	25081	339	474	486	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
70	25420	199	369	288	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
71	25619	259	419	325	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
72	25878	139	311	325	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
73	26018	339	411	266	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
74	26357	139	343	330	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
75	26496	319	440	350	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
76	26815	179	353	360	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
77	26995	319	341	302	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
78	27314	259	428	351	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
79	27573	139	795	443	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
80	27712	259	502	53	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
81	27972	259	367	66	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
82	28231	159	424	68	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
83	28390	199	642	57	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
84	28590	857	729	62	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
85	29447	140	769	69	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
86	29587	239	718	69	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
87	29826	219	808	73	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
88	30045	539	725	66	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
89	30584	179	809	82	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
90	30763	419	723	75	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
91	31182	219	856	85	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
92	31401	558	722	80	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
93	31959	159	832	87	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
94	32118	279	860	140	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
95	32398	159	769	248	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
96	32557	279	707	71	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
97	32836	199	865	74	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
98	33035	359	795	86	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
